author,scope,landed,planning,positive,negative,themes,price_pct,workloads
MarshallThomas-g8w,UNK,,,,,nostalgia_grief,,
BendySendy,UNK,,,,,nostalgia_grief,,
braddeicide,UNK,,,,,nostalgia_grief,,
compman34,UNK,,,,,nostalgia_grief,,
truesightgrabber,UNK,,,,,nostalgia_grief,,
Scathing-au,UNK,,,,,nostalgia_grief,,
MichaelG-q6k,UNK,,,,,nostalgia_grief,,
daverichards190,UNK,,,,,nostalgia_grief,,
radicalbyte,UNK,,,,,broadcom_burned_trust,,
3xblahblah,UNK,,,,,broadcom_burned_trust,,
sham6821,UNK,,,,,broadcom_burned_trust,,
basdfgwe_2,UNK,,,,,broadcom_burned_trust,,
dalesyk,UNK,,,,,broadcom_burned_trust,,
udasai,UNK,,,,,broadcom_burned_trust,,
Mysticsam86,UNK,,,,,broadcom_burned_trust,,
controlfreak1963,UNK,,,,,broadcom_burned_trust,,
sisko212,UNK,,,,,broadcom_burned_trust,,
thepeterwan,UNK,,,,,broadcom_burned_trust,,
professortill8592,UNK,,,,,broadcom_burned_trust,,
Ndot-t1x,UNK,,,,,broadcom_burned_trust,,
nndorconnetnz,UNK,,,,,broadcom_burned_trust,,
muhdiversity7409,UNK,,,,,broadcom_burned_trust,,
JeremyCaron,UNK,,,,,broadcom_burned_trust,,
joeschmuccatelli2167,UNK,,,,,broadcom_burned_trust,,
PeterRichardsandYoureNot,UNK,,,,,broadcom_burned_trust,,
sondrax,UNK,,,,,broadcom_burned_trust,,
pronounjow,UNK,,,,,broadcom_burned_trust,,
triarii_00,UNK,,,,,broadcom_burned_trust,,
Bellthorian,UNK,,,,,broadcom_burned_trust,,
leeross7896,UNK,,,,,broadcom_burned_trust,,
crapphone7744_2,UNK,,,,,broadcom_burned_trust,,
ntfsguy3601,UNK,,,,,broadcom_burned_trust,,
SHTFchef,UNK,,,,,broadcom_burned_trust,,
SeaJay_Oceans,UNK,,,,,broadcom_burned_trust,,
TJChallstrom916-512,UNK,,,,,broadcom_burned_trust,,
rendermanpro,UNK,,,,,broadcom_burned_trust,,
syedadeelqamar3547,UNK,,,,,broadcom_burned_trust,,
nufosmatic,UNK,,,,,broadcom_burned_trust,,
geesharp6637,UNK,,,,,broadcom_burned_trust,,
krimke881,UNK,,,,,broadcom_burned_trust,,
JimFeig,UNK,,,,,broadcom_burned_trust,,
aitorbleda8267,UNK,,,,,broadcom_burned_trust,,
zzaretube,UNK,,,,,broadcom_burned_trust,,
F1BeachAV,UNK,,,,,broadcom_burned_trust,,
LordOfTheThreeWorlds,UNK,,,,,broadcom_burned_trust,,
snapdragogon69,UNK,,,,,broadcom_burned_trust,,
dangingerich2559,UNK,,,,,broadcom_burned_trust,,
ÐÐ»ÐµÐºÑÐ°Ð½Ð´Ñ1-Ñ6Ñ,UNK,,,,,broadcom_burned_trust,,
Grym-b0rk3d,UNK,,,,,broadcom_burned_trust,,
muhdiversity7409_2,UNK,,,,,broadcom_burned_trust,,
thispalebluedot23455,UNK,,,,,broadcom_burned_trust,,
malcolmjacquard4689,UNK,,,,,broadcom_burned_trust,,
letterspace1letterspace266,UNK,,,,,broadcom_burned_trust,,
ramsn1971_2,UNK,,,,,skills_gap_retooling,,
tobe2240,UNK,,,,,vmware_job_market_collapse,,
middleagebrotips3454,UNK,,,,,vmware_job_market_collapse,,
ByTheRiverHelge,UNK,,,,,vmware_job_market_collapse|ai_training_data_shift,,
WolfsToob,UNK,,,,,ex_employee_culture_destroyed,,
themadlabber_vmug,UNK,,,,,vmug_paywall_details,,
Garageland16,UNK,,,,,vmug_paywall_details,,
hendrickginn3323,ENT,,,,,board_politics_blocks_change,,
TooBarFoo_2,UNK,,,,,skills_gap_retooling|consultants_needed,,
genuinegasti,ENT,,,,Proxmox,proxmox_support_gap|sla_requirement,,
OweEyeSea,UNK,,,Nutanix|OpenShift,Proxmox,proxmox_scale_doubt,,
troyfred8007,UNK,,,Proxmox,,proxmox_scale_doubt,,
tobe2240_2,UNK,,,,Proxmox,iscsi_gap_proxmox|snapshot_gap,,
drstefankrank,UNK,,,Proxmox,Hyper-V,iscsi_gap_rebuttal|veeam_feature_gap,,
ferencszabo3504,UNK,,,Proxmox,,proxmox_owns_midmarket,,
mikec5309_2,UNK,,,,,veeam_is_the_story,,
ytacc3980,UNK,,,,Veeam,,,
jacobnoori,UNK,,,,Hyper-V,veeam_integration_gap,,
TheTommasPL,CONSULT,,,,,backup_vendor_wins|mixed_environments,,
dgalloway67,UNK,,,,Hyper-V,hyperv_scale_gap,,
cyclopsvision6370,UNK,,,,,hyperv_not_really_free,,
andy-pc,UNK,,,,,hyperv_not_really_free,,
Inphinityproductions,UNK,,,Hyper-V,,hyperv_has_mgmt,,
itninja9503,UNK,,,,Hyper-V|Azure Local,missing_mgmt_plane|ms_blew_it|azure_lock_in,,
jameslucas583_2,UNK,,,,Hyper-V,missing_mgmt_plane,,
ghostofdre_2,UNK,,,,,missing_mgmt_plane,,
jlholmes8,UNK,,,,,ms_blew_it,,
mikael2670,UNK,,,,,ms_blew_it,,
Consequator,ENT,,,,,vmotion_gap|lock_in_evaluating,,
boristheengineer5160,UNK,,,,,virt_is_commodity|lockin_is_overstated,,
meh.7539,UNK,,,,,multi_vendor_for_security,,
shane_gentle,UNK,,,,,open_source_or_nothing,,
greendwarff,UNK,,,,,open_source_or_nothing,,
s0me0nes0mething01,UNK,,,,,open_source_or_nothing|proprietary_to_proprietary,,
leandrolaporta2196,CONSULT,,,,,open_source_or_nothing|fear_of_next_acquisition,,
TheNefastor,UNK,,,,,open_source_or_nothing,,
bartwfielder,UNK,,,,,fear_of_next_acquisition,,
jcchaconjr,CONSULT,,,,,vendor_ecosystem_shift|broadcom_short_term,,
PhilMoskowitz,UNK,,,,,dell_sells_shovels,,
rediband,UNK,,,,,nvidia_speculation,,
sidwong1,UNK,,,,,contrarian_broadcom_defense|semiconductor_revenue,,
johnjoyce,ENT,,,,,diy_hyperscaler_exit,,
krimke881_2,UNK,,,,,free_tier_nostalgia|smb_abandonment,,
sillonbono3196,UNK,,,,,gap_vcloud,,
markusviel6440,UNK,,,,,gap_kubermatic,,
linuslaikt,UNK,,,,,gap_virtuozzo,,
toroblanco800,UNK,,,,,gap_virtuozzo,,
PlanoFool,UNK,,,,,gap_cloud,,
TheBlzrburn,UNK,,,Nutanix,,gap_nutanix_ce,,
F1BeachAV_2,UNK,,,,,gap_citrix_vdi,,
afeuerbach,UNK,,,,,gap_hyperv_s2d,,
anthonyp4617,UNK,,,,Nutanix,nutanix_price_creep,,
joed960,UNK,,,,Nutanix,nutanix_price_creep,,
matthewisaac6895,UNK,,,,Nutanix,nutanix_price_creep,,
Skyline_NTR,UNK,,,,,nutanix_price_creep,,
mohammednkhawaja,UNK,,,,Nutanix,,,
ChrisForsey25,ENT,Nutanix,,VMware,Nutanix,nutanix_negative_experience|eol_parts|cvm_instability,,
agniseglitis,UNK,,,Proxmox,,why_not_proxmox,,
img00,UNK,,,,,production_critique_zooms,,
FelipeCupido-q5p,UNK,,,,,production_critique_lightmode,,
CodeCharmer,UNK,,,,,praise,,
6nemac84,UNK,,,,,off_topic,,
normalizedaudio2481,UNK,,,,,question,,
Andre-qx8qh,UNK,,,,,omnissa_context,,
papabear562,ENT,,,,,government_exposure,,
mdbrenna_2,UNK,,,,,critical_infrastructure,,
Iknowthingsaboutpigeons,UNK,,,,,trust_curve_repeat,,
JasonSpielberg,UNK,,,,,hardware_price_crisis,,
bobbrown8661,UNK,,,,VMware,,,
beauthestdane,UNK,,,,,never_going_back,,
Knowbody42,UNK,,,,,humor,,
JeffRyman69,UNK,,,,,humor,,
crapphone7744_3,UNK,,,,,humor,,
julesc8054,UNK,,,,,humor,,
user-9001,UNK,,,,,praise,,
pppp-hd3wh,UNK,,,,,off_topic,,
juniorcoder1267,UNK,,,,,humor,,
1979benmitchell,UNK,,,,,humor,,
godaftwithebk7882,UNK,,,,,humor,,
KalwantSingh-q6f,UNK,,,,,off_topic,,
russellhaley6901,UNK,,,,,off_topic,,
NicolayLeiva,UNK,,,,,humor,,
Paultimate7_2,UNK,,,,,cease_and_desist,,
CARPB147,UNK,,,,,cease_and_desist,,
amir-jg4zy_2,UNK,,,,,perpetual_license_holdout,,
recoveryguru,UNK,,,,,question,,
Igeeky1,UNK,,,,,question,,
joespenceley,UNK,,Azure Local,,,azure_local_dr_gap,,
PaleoWithFries,UNK,,,,,question,,
shaunclarke94,UNK,,,,,question,,
fi0nn,UNK,,,,,question,,
jimwhitt3807,UNK,,,,,praise_scaling_framing,,
matthewhammond9575,UNK,,,,,enterprise_sweetheart_deals,,
smccomas01,UNK,,,,,worse_than_oracle,,
markmanderson_2,UNK,,,,,worse_than_oracle,,
dgalloway67_2,UNK,,,,,question,,
censoredeveryday3320_2,UNK,,,,OLVM,,,
Str34mR_2,UNK,,,,,k8s_not_lockin,,
TristanTodd,UNK,,,,,praise,,
stage6fan475,UNK,,,,,praise,,
metrotechguru5863,UNK,,,,,praise,,
jfred1989,UNK,,,,,praise,,
TheErvdoggie,UNK,,,,,praise,,
brillo64,UNK,,,,,praise,,
reka2591,UNK,,,,,praise,,
allezvenga7617,UNK,,,,,praise,,
markfchapmani,UNK,,,,,praise,,
WawawonderWhere_2,UNK,,,,,praise,,
MichaelToub,UNK,,,,,praise,,
williampegram,UNK,,,,,praise,,
unfgreen,UNK,,,,,praise,,
Locutus,UNK,,,,,praise,,
zebraspud,UNK,,,,,praise,,
agussio,UNK,,,,,praise,,
kamlshun_2,UNK,,,,,praise,,
askguru-net,UNK,,,,,praise,,
DiningPhilanderer,UNK,,,,,praise,,
brandonvereyken4869_2,UNK,,,,,praise,,
UnleashtheDave,UNK,,,,,praise,,
khushibhatter817_2,UNK,,,,,praise,,
MarkKnights_2,UNK,,,,,praise,,
nicoheinze7984_2,UNK,,,,,praise,,
harryrcarmichael_2,UNK,,,,,praise,,
ricktroth1947_2,UNK,,,,,praise,,
gearmessiah438_2,UNK,,,,,praise,,
michaelyoungsusernam_2,UNK,,,,,praise,,
strouja,UNK,,,,,praise,,
Hier_regiert_der_DSC_2,UNK,,,,,praise,,
F1BeachAV_3,UNK,,,,,praise,,
markpirola8152_2,UNK,,,,,praise,,
julesc8054_2,UNK,,,,,praise,,
syllysayanami5032,ENT,Nutanix,,Nutanix,,consolidation_ratio|evaluated_thoroughly,,650
ericede,ENT,,undecided,,HPE Morpheus|Hyper-V,certification_glut|license_expiry_surprise|morpheus_cost|evaluated_thoroughly,,3500
triradio,MID,Proxmox,,Proxmox,,migration_in_flight,,400
mrnobody6743,ENT,Cloud/AWS,,,,went_to_cloud|non_economic_motivation,,
allenbeddingfield3152,MID,XCP-ng,,XCP-ng,,veeam_supports_xcpng|one_to_one_replacement,,
Jennecy,MID,XCP-ng,,XCP-ng,,long_tenure|open_source_or_nothing,,100
davincij15,UNK,Proxmox,,Proxmox,,,,
cgardnerjr,ENT,OpenShift,,,OpenShift,openshift_storage_problems|not_enterprise_ready,,
CalgarGTX,UNK,,,,HPE Morpheus,hpe_is_next_lockin|left_the_industry,,
noelreynolds2356,EDU,,undecided,,VMware,price_shock|smb_abandonment,400,
abn0rm1,MID,,undecided,,,forced_exit|broadcom_short_term|contract_cliff,,
CodyShell,UNK,,,,,broadcom_burned_trust,,
oltep_r2,ENT,Nutanix,,,Nutanix,nutanix_negative_experience|eol_parts|hci_roi_failure|would_take_ahv_not_hci,,
jonathanbuzzard1376_r,EDU,,,,,tesco_exit_rumor|contract_cliff,,
ByTheRiverHelge_r,UNK,,,,,tesco_exit_rumor,,
TheJensss_r,ENT,,,,Cloud/AWS,cloud_repatriation|hardware_price_crisis,,
TheJensss_r2,ENT,,,,,small_org_advantage|technical_leadership,,
TrackyMatt,MID,,,,VMware,price_shock|bridge_renewal,300,
hdmaragh,UNK,,,,,perpetual_license_mechanics,,
onur6020,UNK,,,,,perpetual_license_mechanics,,
Dfk429S9fo3_r,UNK,,,,,perpetual_license_mechanics,,
tobe2240_r3,UNK,,,Proxmox,,iscsi_gap_conceded|veeam_feature_gap|backup_solved_it,,
truckerallikatuk_r,HOME,XCP-ng,,XCP-ng,,boring_is_good,,
LaserFur_r,HOME,,,,,gpu_3d_gap|workstation_refugee,,
Mzansi74_r,ENT,,,VMware,,contrarian_broadcom_defense|no_enterprise_equivalent,,
A907-o1g,UNK,,,,,contrarian_broadcom_defense|revenue_is_insurance_contracts,,
qcca123-f1v_r,UNK,,,,VMware,broadcom_short_term|vmware_dead_company_walking,,
Raima888s_r,UNK,,,,,migration_in_flight,,
gardnerjp1_r,UNK,,,,,nostalgia_grief,,
darkpixel2k_r,UNK,,,,Hyper-V,,,
MarkoVukovic0,UNK,,,,,question,,
soloflo,UNK,,,,,vmware_job_market_collapse,,
linuxpython935_r,UNK,,,,,broadcom_burned_trust,,
seriouscat2231,UNK,,,,,ai_skepticism,,
gintoki2000,UNK,,,,,ai_skepticism,,
nrapopor_r,UNK,,,,,humor,,
recoveryguru_r,UNK,,,,,question,,
raheesom,UNK,,,,,question,,
downundarob_r,UNK,,,,XCP-ng,disk_resize_gap,,
SimpleLogic001_r,UNK,,,,,redhat_is_new_lockin|centos_rugpull,,
basdfgwe_r2,UNK,,,,,question,,
Gonzo-n7u4v_r,UNK,,,,,broadcom_playbook,,
paulrevere18,UNK,,,,,broadcom_burned_trust,,
jeffspaulding9834_r2,UNK,,,,,nostalgia_grief,,
firecwby1999_n,UNK,,,,,nostalgia_grief,,
joebakb,UNK,,,,,nostalgia_grief,,
brianschonecker4336,UNK,,,,,nostalgia_grief,,
Tshipa,UNK,,,,,nostalgia_grief,,
TheHalfpint5,UNK,,,,,nostalgia_grief,,
matthewhammond9575_r,UNK,,,,,nostalgia_grief,,
TDub_ADV_r,UNK,,,,,nostalgia_grief,,
noelreynolds2356_r,UNK,,,,,nostalgia_grief,,
noelreynolds2356_r2,UNK,,,,,nostalgia_grief,,
triradio_r,UNK,,,,,nostalgia_grief,,
markmanderson_r1,UNK,,,,,nostalgia_grief,,
markmanderson_r2,UNK,,,,,nostalgia_grief,,
markmanderson_r3,UNK,,,,,nostalgia_grief,,
PXAbstraction_r,UNK,,,,,nostalgia_grief,,
Ughmahedhurtz_r,UNK,,,,,nostalgia_grief,,
M3PH11_r,UNK,,,,,nostalgia_grief,,
generic6099,UNK,,,,,nostalgia_grief,,
EscapedTheRatRace4evr,UNK,,,,,nostalgia_grief,,
Mysticsam86_r,UNK,,,,,nostalgia_grief,,
kitehman,UNK,,,,,nostalgia_grief,,
pe-msee_r,UNK,,,,,nostalgia_grief,,
linuxpython935_r2,UNK,,,,,nostalgia_grief,,
Mzansi74_r2,UNK,,,,,nostalgia_grief,,
amir-jg4zy_r3,UNK,,,,,nostalgia_grief,,
